Date,Open,High,Low,Close,Adj Close,Volume
9/5/24,5520.08,5546.30,5480.54,5503.41,5503.41,3521650000
9/4/24,5506.68,5552.99,5503.66,5520.07,5520.07,3478140000
9/3/24,5623.89,5623.89,5504.33,5528.93,5528.93,3866350000
8/30/24,5612.74,5651.37,5581.79,5648.40,5648.40,4185850000
8/29/24,5607.30,5646.95,5583.71,5591.96,5591.96,3065640000
8/28/24,5624.51,5627.03,5560.95,5592.18,5592.18,3053450000
8/27/24,5602.89,5631.18,5593.48,5625.80,5625.80,2798990000
8/26/24,5639.66,5651.62,5602.34,5616.84,5616.84,2938570000
8/23/24,5602.49,5641.82,5585.16,5634.61,5634.61,3291940000
8/22/24,5637.77,5643.22,5560.95,5570.64,5570.64,2981530000
8/21/24,5603.09,5632.68,5591.57,5620.85,5620.85,3119670000
8/20/24,5602.88,5620.51,5585.50,5597.12,5597.12,2994420000
8/19/24,5557.23,5608.30,5550.74,5608.25,5608.25,3222050000
8/16/24,5530.50,5561.98,5525.17,5554.25,5554.25,3357690000
8/15/24,5501.13,5546.23,5501.13,5543.22,5543.22,3723310000
8/14/24,5442.36,5463.22,5415.91,5455.21,5455.21,3380050000
8/13/24,5376.98,5436.50,5376.98,5434.43,5434.43,3648980000
8/12/24,5351.88,5371.20,5324.37,5344.39,5344.39,3360160000
8/9/24,5314.66,5358.67,5300.84,5344.16,5344.16,3516400000
8/8/24,5252.57,5328.03,5233.85,5319.31,5319.31,4016830000
8/7/24,5293.13,5330.64,5195.54,5199.50,5199.50,4558260000
8/6/24,5206.42,5312.34,5193.56,5240.03,5240.03,4690190000
8/5/24,5151.14,5250.89,5119.26,5186.33,5186.33,5333250000
8/2/24,5376.63,5383.89,5302.03,5346.56,5346.56,5156450000
8/1/24,5537.84,5566.16,5410.42,5446.68,5446.68,4703620000
7/31/24,5505.59,5551.51,5493.75,5522.30,5522.30,4546910000
7/30/24,5478.73,5489.46,5401.70,5436.44,5436.44,3777740000
7/29/24,5476.55,5487.74,5444.44,5463.54,5463.54,3379970000
7/26/24,5433.67,5488.32,5430.70,5459.10,5459.10,3638770000
